"","X","cluster"
"1023","2014-05-01_4",4
"1028","2014-06-01_4",4
"1033","2014-07-01_4",4
"1038","2014-08-01_4",4
"1042","2014-09-01_3",4
"1048","2014-10-01_4",4
"1053","2014-11-01_4",4
"1058","2014-12-01_4",4
"1063","2015-01-01_4",4
"1068","2015-02-01_4",4
"1073","2015-03-01_4",4
"1078","2015-04-01_4",4
"1082","2015-05-01_3",4
"1083","2015-05-01_4",4
"1087","2015-06-01_3",4
"1088","2015-06-01_4",4
"1092","2015-07-01_3",4
"1095","2015-08-01_2",4
"1096","2015-08-01_3",4
"1100","2015-09-01_2",4
"1101","2015-09-01_3",4
"1106","2015-10-01_3",4
"1107","2015-10-01_4",4
"1111","2015-11-01_3",4
"1112","2015-11-01_4",4
"1116","2015-12-01_3",4
"1117","2015-12-01_4",4
"1120","2016-01-01_2",4
"1121","2016-01-01_3",4
"1125","2016-02-01_2",4
"1126","2016-02-01_3",4
"1131","2016-03-01_3",4
"1132","2016-03-01_4",4
"1136","2016-04-01_3",4
"1137","2016-04-01_4",4
"1141","2016-05-01_3",4
"1142","2016-05-01_4",4
"1146","2016-06-01_3",4
"1147","2016-06-01_4",4
"1151","2016-07-01_3",4
"1152","2016-07-01_4",4
"1156","2016-08-01_3",4
"1157","2016-08-01_4",4
"1161","2016-09-01_3",4
"1162","2016-09-01_4",4
"1166","2016-10-01_3",4
"1167","2016-10-01_4",4
"1171","2016-11-01_3",4
"1172","2016-11-01_4",4
"1176","2016-12-01_3",4
"1177","2016-12-01_4",4
"1180","2017-01-01_2",4
"1182","2017-01-01_4",4
"1185","2017-02-01_2",4
"1187","2017-02-01_4",4
"1191","2017-03-01_3",4
"1192","2017-03-01_4",4
"1196","2017-04-01_3",4
"1197","2017-04-01_4",4
"1200","2017-05-01_2",4
"1202","2017-05-01_4",4
"1206","2017-06-01_3",4
"1207","2017-06-01_4",4
"1210","2017-07-01_2",4
"1212","2017-07-01_4",4
"1216","2017-08-01_3",4
"1217","2017-08-01_4",4
"1220","2017-09-01_2",4
"1222","2017-09-01_4",4
"1225","2017-10-01_2",4
"1227","2017-10-01_4",4
"1230","2017-11-01_2",4
"1232","2017-11-01_4",4
"1235","2017-12-01_2",4
"1237","2017-12-01_4",4
"1240","2018-01-01_2",4
"1242","2018-01-01_4",4
"1245","2018-02-01_2",4
"1247","2018-02-01_4",4
"1250","2018-03-01_2",4
"1252","2018-03-01_4",4
"1255","2018-04-01_2",4
"1257","2018-04-01_4",4
"1260","2018-05-01_2",4
"1261","2018-05-01_3",4
"1265","2018-06-01_2",4
"1266","2018-06-01_3",4
"1270","2018-07-01_2",4
"1271","2018-07-01_3",4
"1275","2018-08-01_2",4
"1276","2018-08-01_3",4
"1280","2018-09-01_2",4
"1281","2018-09-01_3",4
"1285","2018-10-01_2",4
"1286","2018-10-01_3",4
"1290","2018-11-01_2",4
"1291","2018-11-01_3",4
"1295","2018-12-01_2",4
"1296","2018-12-01_3",4
"1300","2019-01-01_2",4
"1301","2019-01-01_3",4
"1305","2019-02-01_2",4
"1306","2019-02-01_3",4
"1310","2019-03-01_2",4
"1311","2019-03-01_3",4
"1315","2019-04-01_2",4
"1316","2019-04-01_3",4
"1320","2019-05-01_2",4
"1321","2019-05-01_3",4
"1325","2019-06-01_2",4
"1326","2019-06-01_3",4
"1330","2019-07-01_2",4
"1331","2019-07-01_3",4
"1335","2019-08-01_2",4
"1336","2019-08-01_3",4
"1340","2019-09-01_2",4
"1341","2019-09-01_3",4
"1343","2019-09-01_5",4
"1346","2019-10-01_2",4
"1347","2019-10-01_3",4
"1349","2019-10-01_5",4
"1352","2019-11-01_2",4
"1353","2019-11-01_3",4
"1357","2019-12-01_2",4
"1358","2019-12-01_3",4
"1360","2019-12-01_5",4
"1363","2020-01-01_2",4
"1364","2020-01-01_3",4
"1368","2020-02-01_2",4
"1370","2020-02-01_4",4
"1373","2020-03-01_2",4
"1374","2020-03-01_3",4
"1378","2020-04-01_2",4
"1379","2020-04-01_3",4
"1383","2020-05-01_2",4
"1384","2020-05-01_3",4
"1388","2020-06-01_2",4
"1389","2020-06-01_3",4
"1393","2020-07-01_2",4
"1394","2020-07-01_3",4
"1396","2020-07-01_5",4
"1399","2020-08-01_2",4
"1400","2020-08-01_3",4
"1404","2020-09-01_2",4
"1405","2020-09-01_3",4
"1407","2020-09-01_5",4
"1410","2020-10-01_2",4
"1411","2020-10-01_3",4
"1415","2020-11-01_2",4
"1416","2020-11-01_3",4
"1418","2020-11-01_5",4
"1421","2020-12-01_2",4
"1422","2020-12-01_3",4
"1424","2020-12-01_5",4
"1427","2021-01-01_2",4
"1428","2021-01-01_3",4
"1430","2021-01-01_5",4
"1433","2021-02-01_2",4
"1434","2021-02-01_3",4
"1436","2021-02-01_5",4
"1439","2021-03-01_2",4
"1440","2021-03-01_3",4
"1442","2021-03-01_5",4
"1445","2021-04-01_2",4
"1446","2021-04-01_3",4
"1448","2021-04-01_5",4
"1451","2021-05-01_2",4
"1452","2021-05-01_3",4
"1454","2021-05-01_5",4
"1457","2021-06-01_2",4
"1458","2021-06-01_3",4
"1460","2021-06-01_5",4
"1463","2021-07-01_2",4
"1464","2021-07-01_3",4
"1466","2021-07-01_5",4
"1469","2021-08-01_2",4
"1470","2021-08-01_3",4
"1472","2021-08-01_5",4
"1475","2021-09-01_2",4
"1476","2021-09-01_3",4
"1478","2021-09-01_5",4
"1481","2021-10-01_2",4
"1482","2021-10-01_3",4
"1486","2021-11-01_2",4
"1487","2021-11-01_3",4
"1491","2021-12-01_2",4
"1492","2021-12-01_3",4
"1494","2021-12-01_5",4
"1497","2022-01-01_2",4
"1498","2022-01-01_3",4
"1500","2022-01-01_5",4
"1503","2022-02-01_2",4
"1504","2022-02-01_3",4
"1508","2022-03-01_2",4
"1509","2022-03-01_3",4
"1510","2022-03-01_4",4
"1514","2022-04-01_2",4
"1515","2022-04-01_3",4
"1519","2022-05-01_2",4
"1520","2022-05-01_3",4
"1522","2022-05-01_5",4
"1525","2022-06-01_2",4
"1526","2022-06-01_3",4
"1528","2022-06-01_5",4
"1531","2022-07-01_2",4
"1532","2022-07-01_3",4
"1534","2022-07-01_5",4
"1537","2022-08-01_2",4
"1538","2022-08-01_3",4
"1540","2022-08-01_5",4
"1543","2022-09-01_2",4
"1544","2022-09-01_3",4
"1546","2022-09-01_5",4
"1549","2022-10-01_2",4
"1550","2022-10-01_3",4
"1552","2022-10-01_5",4
"1554","2022-11-01_1",4
"1556","2022-11-01_3",4
"1558","2022-12-01_1",4
"1559","2022-12-01_2",4
"1562","2022-12-01_5",4
"1564","2023-01-01_1",4
"1566","2023-01-01_3",4
"1568","2023-01-01_5",4
"1570","2023-02-01_1",4
"1571","2023-02-01_2",4
"1574","2023-02-01_5",4
"1576","2023-03-01_1",4
"1577","2023-03-01_2",4
"5","2000-12-01_4",5
"12","2001-01-01_4",5
"20","2001-02-01_5",5
"27","2001-03-01_5",5
"34","2001-04-01_5",5
"41","2001-05-01_5",5
"48","2001-06-01_5",5
"55","2001-07-01_5",5
"62","2001-08-01_5",5
"69","2001-09-01_5",5
"76","2001-10-01_5",5
"82","2001-11-01_4",5
"89","2001-12-01_5",5
"96","2002-01-01_5",5
"103","2002-02-01_5",5
"111","2002-03-01_5",5
"117","2002-04-01_4",5
"123","2002-05-01_4",5
"129","2002-06-01_4",5
"134","2002-07-01_3",5
"141","2002-08-01_3",5
"147","2002-09-01_3",5
"155","2002-10-01_4",5
"162","2002-11-01_4",5
"169","2002-12-01_4",5
"176","2003-01-01_4",5
"185","2003-02-01_5",5
"193","2003-03-01_6",5
"200","2003-04-01_5",5
"208","2003-05-01_5",5
"215","2003-06-01_4",5
"223","2003-07-01_4",5
"230","2003-08-01_3",5
"242","2003-09-01_7",5
"250","2003-10-01_7",5
"258","2003-11-01_7",5
"265","2003-12-01_6",5
"271","2004-01-01_5",5
"279","2004-02-01_6",5
"286","2004-03-01_6",5
"293","2004-04-01_5",5
"301","2004-05-01_5",5
"309","2004-06-01_5",5
"319","2004-07-01_7",5
"327","2004-08-01_7",5
"335","2004-09-01_7",5
"343","2004-10-01_7",5
"350","2004-11-01_6",5
"358","2004-12-01_6",5
"366","2005-01-01_6",5
"374","2005-02-01_6",5
"380","2005-03-01_4",5
"387","2005-04-01_4",5
"396","2005-05-01_6",5
"401","2005-06-01_4",5
"408","2005-07-01_4",5
"417","2005-08-01_6",5
"422","2005-09-01_4",5
"428","2005-10-01_4",5
"434","2005-11-01_4",5
"440","2005-12-01_4",5
"446","2006-01-01_4",5
"452","2006-02-01_4",5
"458","2006-03-01_4",5
"464","2006-04-01_4",5
"470","2006-05-01_4",5
"476","2006-06-01_4",5
"479","2006-07-01_1",5
"486","2006-08-01_1",5
"492","2006-09-01_1",5
"498","2006-10-01_1",5
"504","2006-11-01_1",5
"513","2006-12-01_4",5
"516","2007-01-01_1",5
"525","2007-02-01_4",5
"531","2007-03-01_4",5
"537","2007-04-01_4",5
"544","2007-05-01_4",5
"550","2007-06-01_4",5
"557","2007-07-01_4",5
"563","2007-08-01_4",5
"570","2007-09-01_4",5
"576","2007-10-01_4",5
"582","2007-11-01_4",5
"589","2007-12-01_4",5
"595","2008-01-01_4",5
"601","2008-02-01_4",5
"607","2008-03-01_4",5
"613","2008-04-01_4",5
"619","2008-05-01_4",5
"626","2008-06-01_4",5
"632","2008-07-01_4",5
"638","2008-08-01_4",5
"644","2008-09-01_4",5
"650","2008-10-01_4",5
"656","2008-11-01_4",5
"662","2008-12-01_4",5
"668","2009-01-01_4",5
"674","2009-02-01_4",5
"679","2009-03-01_4",5
"685","2009-04-01_4",5
"691","2009-05-01_4",5
"697","2009-06-01_4",5
"703","2009-07-01_4",5
"709","2009-08-01_4",5
"715","2009-09-01_4",5
"720","2009-10-01_4",5
"726","2009-11-01_4",5
"732","2009-12-01_4",5
"738","2010-01-01_4",5
"744","2010-02-01_4",5
"750","2010-03-01_4",5
"755","2010-04-01_4",5
"760","2010-05-01_4",5
"765","2010-06-01_4",5
"770","2010-07-01_4",5
"775","2010-08-01_4",5
"780","2010-09-01_4",5
"785","2010-10-01_4",5
"790","2010-11-01_4",5
"795","2010-12-01_4",5
"800","2011-01-01_4",5
"805","2011-02-01_4",5
"810","2011-03-01_4",5
"815","2011-04-01_4",5
"820","2011-05-01_4",5
"825","2011-06-01_4",5
"830","2011-07-01_4",5
"835","2011-08-01_4",5
"842","2011-09-01_6",5
"846","2011-10-01_3",5
"853","2011-11-01_3",5
"860","2011-12-01_3",5
"866","2012-01-01_3",5
"873","2012-02-01_3",5
"880","2012-03-01_3",5
"890","2012-04-01_6",5
"897","2012-05-01_6",5
"903","2012-06-01_5",5
"909","2012-07-01_5",5
"915","2012-08-01_5",5
"921","2012-09-01_5",5
"926","2012-10-01_4",5
"933","2012-11-01_5",5
"938","2012-12-01_4",5
"943","2013-01-01_4",5
"948","2013-02-01_4",5
"953","2013-03-01_4",5
"958","2013-04-01_4",5
"963","2013-05-01_4",5
"968","2013-06-01_4",5
"973","2013-07-01_4",5
"978","2013-08-01_4",5
"983","2013-09-01_4",5
"1561","2022-12-01_4",5
"1567","2023-01-01_4",5
"1579","2023-03-01_4",5
"1","2000-12-01_0",6
"8","2001-01-01_0",6
"15","2001-02-01_0",6
"22","2001-03-01_0",6
"29","2001-04-01_0",6
"36","2001-05-01_0",6
"43","2001-06-01_0",6
"64","2001-09-01_0",6
"71","2001-10-01_0",6
"78","2001-11-01_0",6
"84","2001-12-01_0",6
"91","2002-01-01_0",6
"106","2002-03-01_0",6
"113","2002-04-01_0",6
"119","2002-05-01_0",6
"125","2002-06-01_0",6
"131","2002-07-01_0",6
"138","2002-08-01_0",6
"144","2002-09-01_0",6
"151","2002-10-01_0",6
"158","2002-11-01_0",6
"165","2002-12-01_0",6
"172","2003-01-01_0",6
"180","2003-02-01_0",6
"187","2003-03-01_0",6
"195","2003-04-01_0",6
"203","2003-05-01_0",6
"211","2003-06-01_0",6
"219","2003-07-01_0",6
"227","2003-08-01_0",6
"235","2003-09-01_0",6
"243","2003-10-01_0",6
"251","2003-11-01_0",6
"259","2003-12-01_0",6
"266","2004-01-01_0",6
"273","2004-02-01_0",6
"280","2004-03-01_0",6
"288","2004-04-01_0",6
"296","2004-05-01_0",6
"297","2004-05-01_1",6
"304","2004-06-01_0",6
"312","2004-07-01_0",6
"320","2004-08-01_0",6
"321","2004-08-01_1",6
"328","2004-09-01_0",6
"329","2004-09-01_1",6
"336","2004-10-01_0",6
"337","2004-10-01_1",6
"344","2004-11-01_0",6
"352","2004-12-01_0",6
"360","2005-01-01_0",6
"368","2005-02-01_0",6
"376","2005-03-01_0",6
"383","2005-04-01_0",6
"390","2005-05-01_0",6
"397","2005-06-01_0",6
"404","2005-07-01_0",6
"411","2005-08-01_0",6
"418","2005-09-01_0",6
"424","2005-10-01_0",6
"430","2005-11-01_0",6
"436","2005-12-01_0",6
"442","2006-01-01_0",6
"448","2006-02-01_0",6
"454","2006-03-01_0",6
"460","2006-04-01_0",6
"466","2006-05-01_0",6
"472","2006-06-01_0",6
"478","2006-07-01_0",6
"485","2006-08-01_0",6
"491","2006-09-01_0",6
"497","2006-10-01_0",6
"503","2006-11-01_0",6
"509","2006-12-01_0",6
"515","2007-01-01_0",6
"521","2007-02-01_0",6
"527","2007-03-01_0",6
"533","2007-04-01_0",6
"540","2007-05-01_0",6
"546","2007-06-01_0",6
"553","2007-07-01_0",6
"559","2007-08-01_0",6
"566","2007-09-01_0",6
"572","2007-10-01_0",6
"578","2007-11-01_0",6
"585","2007-12-01_0",6
"591","2008-01-01_0",6
"597","2008-02-01_0",6
"603","2008-03-01_0",6
"610","2008-04-01_1",6
"616","2008-05-01_1",6
"623","2008-06-01_1",6
"629","2008-07-01_1",6
"635","2008-08-01_1",6
"641","2008-09-01_1",6
"647","2008-10-01_1",6
"653","2008-11-01_1",6
"659","2008-12-01_1",6
"665","2009-01-01_1",6
"671","2009-02-01_1",6
"676","2009-03-01_1",6
"682","2009-04-01_1",6
"688","2009-05-01_1",6
"694","2009-06-01_1",6
"700","2009-07-01_1",6
"706","2009-08-01_1",6
"712","2009-09-01_1",6
"717","2009-10-01_1",6
"723","2009-11-01_1",6
"729","2009-12-01_1",6
"735","2010-01-01_1",6
"741","2010-02-01_1",6
"747","2010-03-01_1",6
"752","2010-04-01_1",6
"757","2010-05-01_1",6
"762","2010-06-01_1",6
"767","2010-07-01_1",6
"772","2010-08-01_1",6
"777","2010-09-01_1",6
"782","2010-10-01_1",6
"787","2010-11-01_1",6
"792","2010-12-01_1",6
"797","2011-01-01_1",6
"802","2011-02-01_1",6
"807","2011-03-01_1",6
"812","2011-04-01_1",6
"817","2011-05-01_1",6
"822","2011-06-01_1",6
"827","2011-07-01_1",6
"832","2011-08-01_1",6
"837","2011-09-01_1",6
"844","2011-10-01_1",6
"851","2011-11-01_1",6
"858","2011-12-01_1",6
"864","2012-01-01_1",6
"871","2012-02-01_1",6
"877","2012-03-01_0",6
"878","2012-03-01_1",6
"884","2012-04-01_0",6
"885","2012-04-01_1",6
"891","2012-05-01_0",6
"892","2012-05-01_1",6
"898","2012-06-01_0",6
"899","2012-06-01_1",6
"904","2012-07-01_0",6
"905","2012-07-01_1",6
"910","2012-08-01_0",6
"911","2012-08-01_1",6
"916","2012-09-01_0",6
"917","2012-09-01_1",6
"922","2012-10-01_0",6
"923","2012-10-01_1",6
"928","2012-11-01_0",6
"929","2012-11-01_1",6
"934","2012-12-01_0",6
"935","2012-12-01_1",6
"939","2013-01-01_0",6
"940","2013-01-01_1",6
"944","2013-02-01_0",6
"945","2013-02-01_1",6
"949","2013-03-01_0",6
"950","2013-03-01_1",6
"954","2013-04-01_0",6
"955","2013-04-01_1",6
"959","2013-05-01_0",6
"960","2013-05-01_1",6
"964","2013-06-01_0",6
"965","2013-06-01_1",6
"969","2013-07-01_0",6
"970","2013-07-01_1",6
"974","2013-08-01_0",6
"975","2013-08-01_1",6
"979","2013-09-01_0",6
"980","2013-09-01_1",6
"984","2013-10-01_0",6
"985","2013-10-01_1",6
"989","2013-11-01_0",6
"990","2013-11-01_1",6
"994","2013-12-01_0",6
"995","2013-12-01_1",6
"999","2014-01-01_0",6
"1000","2014-01-01_1",6
"1004","2014-02-01_0",6
"1005","2014-02-01_1",6
"1009","2014-03-01_0",6
"1010","2014-03-01_1",6
"1014","2014-04-01_0",6
"1015","2014-04-01_1",6
"1019","2014-05-01_0",6
"1020","2014-05-01_1",6
"1024","2014-06-01_0",6
"1025","2014-06-01_1",6
"1029","2014-07-01_0",6
"1030","2014-07-01_1",6
"1034","2014-08-01_0",6
"1035","2014-08-01_1",6
"1039","2014-09-01_0",6
"1040","2014-09-01_1",6
"1044","2014-10-01_0",6
"1045","2014-10-01_1",6
"1049","2014-11-01_0",6
"1050","2014-11-01_1",6
"1054","2014-12-01_0",6
"1055","2014-12-01_1",6
"1059","2015-01-01_0",6
"1060","2015-01-01_1",6
"1064","2015-02-01_0",6
"1065","2015-02-01_1",6
"1069","2015-03-01_0",6
"1070","2015-03-01_1",6
"1074","2015-04-01_0",6
"1075","2015-04-01_1",6
"1079","2015-05-01_0",6
"1080","2015-05-01_1",6
"1084","2015-06-01_0",6
"1085","2015-06-01_1",6
"1089","2015-07-01_0",6
"1090","2015-07-01_1",6
"1093","2015-08-01_0",6
"1094","2015-08-01_1",6
"1098","2015-09-01_0",6
"1099","2015-09-01_1",6
"1103","2015-10-01_0",6
"1104","2015-10-01_1",6
"1108","2015-11-01_0",6
"1109","2015-11-01_1",6
"1113","2015-12-01_0",6
"1114","2015-12-01_1",6
"1118","2016-01-01_0",6
"1119","2016-01-01_1",6
"1123","2016-02-01_0",6
"1124","2016-02-01_1",6
"1128","2016-03-01_0",6
"1129","2016-03-01_1",6
"1133","2016-04-01_0",6
"1134","2016-04-01_1",6
"1138","2016-05-01_0",6
"1139","2016-05-01_1",6
"1143","2016-06-01_0",6
"1144","2016-06-01_1",6
"1148","2016-07-01_0",6
"1149","2016-07-01_1",6
"1153","2016-08-01_0",6
"1154","2016-08-01_1",6
"1158","2016-09-01_0",6
"1159","2016-09-01_1",6
"1163","2016-10-01_0",6
"1164","2016-10-01_1",6
"1168","2016-11-01_0",6
"1169","2016-11-01_1",6
"1173","2016-12-01_0",6
"1174","2016-12-01_1",6
"1178","2017-01-01_0",6
"1179","2017-01-01_1",6
"1183","2017-02-01_0",6
"1184","2017-02-01_1",6
"1188","2017-03-01_0",6
"1189","2017-03-01_1",6
"1193","2017-04-01_0",6
"1194","2017-04-01_1",6
"1198","2017-05-01_0",6
"1199","2017-05-01_1",6
"1203","2017-06-01_0",6
"1204","2017-06-01_1",6
"1208","2017-07-01_0",6
"1209","2017-07-01_1",6
"1213","2017-08-01_0",6
"1214","2017-08-01_1",6
"1218","2017-09-01_0",6
"1219","2017-09-01_1",6
"1223","2017-10-01_0",6
"1224","2017-10-01_1",6
"1228","2017-11-01_0",6
"1229","2017-11-01_1",6
"1233","2017-12-01_0",6
"1234","2017-12-01_1",6
"1238","2018-01-01_0",6
"1239","2018-01-01_1",6
"1243","2018-02-01_0",6
"1244","2018-02-01_1",6
"1248","2018-03-01_0",6
"1249","2018-03-01_1",6
"1253","2018-04-01_0",6
"1254","2018-04-01_1",6
"1258","2018-05-01_0",6
"1259","2018-05-01_1",6
"1263","2018-06-01_0",6
"1264","2018-06-01_1",6
"1268","2018-07-01_0",6
"1269","2018-07-01_1",6
"1273","2018-08-01_0",6
"1274","2018-08-01_1",6
"1278","2018-09-01_0",6
"1279","2018-09-01_1",6
"1283","2018-10-01_0",6
"1284","2018-10-01_1",6
"1288","2018-11-01_0",6
"1289","2018-11-01_1",6
"1293","2018-12-01_0",6
"1294","2018-12-01_1",6
"1298","2019-01-01_0",6
"1299","2019-01-01_1",6
"1303","2019-02-01_0",6
"1304","2019-02-01_1",6
"1308","2019-03-01_0",6
"1309","2019-03-01_1",6
"1313","2019-04-01_0",6
"1314","2019-04-01_1",6
"1318","2019-05-01_0",6
"1319","2019-05-01_1",6
"1323","2019-06-01_0",6
"1324","2019-06-01_1",6
"1328","2019-07-01_0",6
"1329","2019-07-01_1",6
"1333","2019-08-01_0",6
"1334","2019-08-01_1",6
"1338","2019-09-01_0",6
"1339","2019-09-01_1",6
"1344","2019-10-01_0",6
"1345","2019-10-01_1",6
"1350","2019-11-01_0",6
"1351","2019-11-01_1",6
"1355","2019-12-01_0",6
"1356","2019-12-01_1",6
"1361","2020-01-01_0",6
"1362","2020-01-01_1",6
"1366","2020-02-01_0",6
"1367","2020-02-01_1",6
"1371","2020-03-01_0",6
"1372","2020-03-01_1",6
"1376","2020-04-01_0",6
"1377","2020-04-01_1",6
"1381","2020-05-01_0",6
"1382","2020-05-01_1",6
"1386","2020-06-01_0",6
"1387","2020-06-01_1",6
"1391","2020-07-01_0",6
"1392","2020-07-01_1",6
"1397","2020-08-01_0",6
"1398","2020-08-01_1",6
"1402","2020-09-01_0",6
"1403","2020-09-01_1",6
"1408","2020-10-01_0",6
"1409","2020-10-01_1",6
"1413","2020-11-01_0",6
"1414","2020-11-01_1",6
"1419","2020-12-01_0",6
"1420","2020-12-01_1",6
"1425","2021-01-01_0",6
"1426","2021-01-01_1",6
"1431","2021-02-01_0",6
"1432","2021-02-01_1",6
"1437","2021-03-01_0",6
"1438","2021-03-01_1",6
"1443","2021-04-01_0",6
"1444","2021-04-01_1",6
"1449","2021-05-01_0",6
"1450","2021-05-01_1",6
"1455","2021-06-01_0",6
"1456","2021-06-01_1",6
"1461","2021-07-01_0",6
"1462","2021-07-01_1",6
"1467","2021-08-01_0",6
"1468","2021-08-01_1",6
"1473","2021-09-01_0",6
"1474","2021-09-01_1",6
"1479","2021-10-01_0",6
"1480","2021-10-01_1",6
"1484","2021-11-01_0",6
"1485","2021-11-01_1",6
"1489","2021-12-01_0",6
"1490","2021-12-01_1",6
"1495","2022-01-01_0",6
"1496","2022-01-01_1",6
"1501","2022-02-01_0",6
"1502","2022-02-01_1",6
"1506","2022-03-01_0",6
"1507","2022-03-01_1",6
"1512","2022-04-01_0",6
"1513","2022-04-01_1",6
"1517","2022-05-01_0",6
"1518","2022-05-01_1",6
"1523","2022-06-01_0",6
"1524","2022-06-01_1",6
"1529","2022-07-01_0",6
"1530","2022-07-01_1",6
"1535","2022-08-01_0",6
"1536","2022-08-01_1",6
"1541","2022-09-01_0",6
"1542","2022-09-01_1",6
"1547","2022-10-01_0",6
"1548","2022-10-01_1",6
"1553","2022-11-01_0",6
"1557","2022-12-01_0",6
"1563","2023-01-01_0",6
"1569","2023-02-01_0",6
"1575","2023-03-01_0",6
