,word,freq,Topic
0,avga,167,1
1,aviat.gasolin,200,1
2,mean.platt.singapor,272,1
3,mobil.oil,994,1
4,thaioil,3616,1
5,sudapet,3653,1
6,energen,3748,1
7,mabanaft,4022,1
8,bunga.kekwa,6502,1
9,brightoil,7091,1
10,banoco,7860,1
11,samref,8791,1
12,engen,9509,1
13,sudanes,11274,1
14,apach,12047,1
15,mopag,12865,1
16,totsa,13011,1
17,enoc,13985,1
18,bangchak,16242,1
19,lanka.ioc,17084,1
20,kero,17758,1
21,conoco,21981,1
22,hazira,22511,1
23,socar,24158,1
24,petrosa,24531,1
25,emarat,25541,1
26,egpc,29179,1
27,conocophillip,33275,1
28,petral,37481,1
29,pv.oil,38000,1
30,sietco,42466,1
31,moga,42838,1
32,platt,42855,1
33,mercuria,42956,1
34,saigon.petro,43471,1
35,petron,49066,1
36,sinopec,56541,1
37,tasweeq,58606,1
38,ongc,66749,1
39,hpcl,67222,1
40,gunvor,67677,1
41,unipec,68176,1
42,statoil,70315,1
43,aramco,70739,1
44,lukoil,71930,1
45,petrolimex,81451,1
46,forti,81794,1
47,adnoc,82482,1
48,pertamina,86954,1
49,trafigura,90807,1
50,essar,92469,1
51,blend,92752,1
52,bapco,93890,1
53,petrochina,102561,1
54,bpcl,102847,1
55,ceypetco,104092,1
56,chevron,105561,1
57,hin.leong,124145,1
58,mop,143787,1
59,exxon,149696,1
60,glencor,152890,1
61,hsfo,177439,1
62,mrpl,226361,1
63,vitol,250955,1
64,bp,385509,1
65,shell,393644,1
66,fuel,1522313,1
67,crush.spread,137,2
68,brass.river.crude,210,2
69,bonni.crude,213,2
70,forward.demand,300,2
71,slug,357,2
72,world.energi.outlook,411,2
73,ulcc,520,2
74,demurrag,605,2
75,ballast,622,2
76,centistok,844,2
77,gross.refin.margin,892,2
78,petrodollar,1002,2
79,water.treatment,1023,2
80,arab.oil.embargo,1096,2
81,equilibrium,1124,2
82,high.densiti,1257,2
83,worldscal,1294,2
84,persian.gulf,1310,2
85,arabian.light,1551,2
86,charter.rate,1822,2
87,light.end,2320,2
88,paraffin,2972,2
89,product.quota,3151,2
90,residu.fuel.oil,3440,2
91,hormuz,3653,2
92,petroleo.de.venezuela,3807,2
93,util.rate,4009,2
94,float.storag,4672,2
95,spare.capac,5452,2
96,aframax,5745,2
97,amsterdam.rotterdam.antwerp,5773,2
98,viscos,5963,2
99,strateg.petroleum.reserv,6073,2
100,reformul.gasolin,6243,2
101,intern.petroleum.exchang,6379,2
102,spr,8742,2
103,embargo,12411,2
104,depart.energi,12488,2
105,straight.run,12992,2
106,intern.energi.agenc,16285,2
107,sweet.crude,23696,2
108,iea,24214,2
109,american.petroleum.institut,25126,2
110,middl.distil,27772,2
111,crude.import,28928,2
112,light.crude,29871,2
113,crack.spread,29939,2
114,unlead,31984,2
115,cartel,33010,2
116,usg,41169,2
117,padd,43896,2
118,api,47269,2
119,bunker,49762,2
120,energi.inform.administr,58117,2
121,ara,64995,2
122,nwe,73171,2
123,doe,122077,2
124,eia,131715,2
125,gallon,139236,2
126,sulphur,145915,2
127,tanker,155380,2
128,distil,173903,2
129,ipe,175932,2
130,barg,199147,2
131,diesel,284745,2
132,heat,297095,2
133,petroleum,307370,2
134,opec,406534,2
135,crude.oil,421728,2
136,refin,428650,2
137,brent,547750,2
138,barrel,1270515,2
139,oil,4287655,2
140,assign.amount.unit,1,3
141,coalesc,133,3
142,new.entrant.reserv,150,3
143,desalt,158,3
144,volatil.organ.compound,226,3
145,ieta,227,3
146,reforest,284,3
147,nation.alloc.plan,310,3
148,aau,317,3
149,joint.implement,373,3
150,baltic.dri.index,397,3
151,ver,458,3
152,flexibl.mechan,470,3
153,european.union.allow,547,3
154,bdi,609,3
155,european.energi.exchang,615,3
156,cumen,734,3
157,coal.bed.methan,863,3
158,clean.develop.mechan,1760,3
159,clean.air.act,1922,3
160,certifi.emiss.reduct,1961,3
161,cap.trade,4696,3
162,air.pollut,5050,3
163,alki,6621,3
164,emiss.trade.scheme,7003,3
165,methan,7664,3
166,environment.protect.agenc,8472,3
167,kyoto.protocol,9256,3
168,valv,11388,3
169,fossil,19525,3
170,global.warm,19703,3
171,biodiesel,20227,3
172,epa,23561,3
173,carbon.dioxid,24726,3
174,biofuel,34195,3
175,pollut,47693,3
176,climat.chang,50483,3
177,green,53226,3
178,environ,64584,3
179,climat,114472,3
180,carbon,185521,3
181,emiss,201326,3
182,bonnevill.power.author,100,4
183,deplet.uranium,121,4
184,region.electr.compani,161,4
185,fast.breeder.reactor,167,4
186,capac.margin,205,4
187,thorium,233,4
188,synga,301,4
189,spark.spread,317,4
190,environment.impact.studi,406,4
191,brownout,409,4
192,vortex,423,4
193,anod,470,4
194,emerg.shutdown,484,4
195,cathod,503,4
196,nation.balanc.point,538,4
197,heavi.water,590,4
198,high.enrich,601,4
199,emul,612,4
200,load.factor,630,4
201,dekatherm,672,4
202,peak.load,679,4
203,base.load,711,4
204,liquid.natur.gas,782,4
205,vanadium,795,4
206,compress.natur.gas,803,4
207,flue,900,4
208,fusion,906,4
209,coolant,928,4
210,tennesse.valley.author,1245,4
211,calorif.valu,1364,4
212,american.gas.associ,1568,4
213,municip.util,1606,4
214,psc,1637,4
215,anthracit,1764,4
216,independ.power.produc,1891,4
217,cogener,2006,4
218,plutonium,2049,4
219,utilis.rate,2633,4
220,cng,3177,4
221,liquefact,3656,4
222,radioact,4766,4
223,ofgem,4880,4
224,compress,4957,4
225,enrich.uranium,5478,4
226,cool.degre.day,5678,4
227,peak.demand,5841,4
228,geotherm,6083,4
229,heat.degre.day,6529,4
230,anglo.american,8120,4
231,combin.cycl,8188,4
232,smelter,9421,4
233,lignit,9451,4
234,transform,14021,4
235,blow,15085,4
236,degre.day,15464,4
237,abandon,16254,4
238,zeebrugg,16566,4
239,atmospher,17507,4
240,interrupt,18651,4
241,ferc,22261,4
242,steam,25169,4
243,transco,25380,4
244,coke,27254,4
245,uranium,29551,4
246,turbin,32284,4
247,resid,33252,4
248,enron,35666,4
249,ocean,35985,4
250,meter,36403,4
251,therm,37629,4
252,conserv,42683,4
253,core,43464,4
254,liquefi.natur.gas,44416,4
255,farm,49686,4
256,henri.hub,50210,4
257,balanc.volum,54243,4
258,power.generat,57783,4
259,hydro,71732,4
260,grid,82546,4
261,miner,95251,4
262,case,100461,4
263,solar,106581,4
264,renew,128895,4
265,reactor,131734,4
266,mine,138200,4
267,addit,152783,4
268,lead,174837,4
269,lng,181823,4
270,equiti,193848,4
271,generat,237223,4
272,electr,336686,4
273,nuclear,395567,4
274,outag,452891,4
275,coal,530117,4
276,energi,1457688,4
277,gas,2174225,4
278,api.grade,107,5
279,minimum.oper.level,111,5
280,cetan,132,5
281,sagd,168,5
282,degre.api,459,5
283,liquid.petroleum.gas,501,5
284,liquid.pipelin,517,5
285,light.lousiana.sweet,539,5
286,orimuls,786,5
287,granit.wash,907,5
288,nation.energi.board,1147,5
289,api.graviti,1256,5
290,tank.farm,1395,5
291,niobrara,2634,5
292,synthet.crude,3271,5
293,plain.american,3457,5
294,tar,3493,5
295,nustar,3945,5
296,devon.energi,3990,5
297,imperi.oil,4618,5
298,syncrud,4629,5
299,tail,4689,5
300,light.oil,4827,5
301,occident.petroleum,6164,5
302,permian.basin,6241,5
303,suncor.energi,7710,5
304,eagl.ford,8326,5
305,heavi.oil,8595,5
306,lighter,8754,5
307,heavi.crude,10643,5
308,sunoco,13050,5
309,permian,15250,5
310,enbridg,19572,5
311,midstream,20288,5
312,heavi.louisiana.sweet,22582,5
313,west.texa.intermedi,37153,5
314,bakken,37366,5
315,cush,55121,5
316,gulf.coast,72059,5
317,wts,125239,5
318,lls,191107,5
319,wti,365002,5
320,pipelin,443221,5
321,epoxi,120,6
322,phenol,178,6
323,purifi.terephthal.acid,180,6
324,melamin,192,6
325,polyurethan,212,6
326,linear.low,239,6
327,polyvinyl.chlorid,265,6
328,ethyl,324,6
329,toluen,347,6
330,isom,541,6
331,styren,542,6
332,glycol,584,6
333,butadien,643,6
334,xylen,676,6
335,pvc,828,6
336,paraxylen,1069,6
337,namepl.capac,1100,6
338,resin,1168,6
339,butyl,1412,6
340,ether,1610,6
341,methyl,1753,6
342,vacuum.distil,1813,6
343,urea,1874,6
344,tertiari,2118,6
345,polym,2189,6
346,benzen,2902,6
347,oxygen,3560,6
348,olefin,4569,6
349,ethan,5904,6
350,fluid.catalyt.cracker,5962,6
351,octan,6187,6
352,visbreak,6209,6
353,liquefi.petroleum.gas,6970,6
354,butan,7495,6
355,netback,8835,6
356,crude.distil.unit,12667,6
357,propan,18870,6
358,feedstock,19536,6
359,lpg,20999,6
360,cement,23149,6
361,petrochem,91707,6
362,reform,116562,6
363,well.intervent,1,7
364,well.head,8,7
365,well.case,35,7
366,well.test,88,7
367,measur.depth,127,7
368,poros,135,7
369,coil.tube,137,7
370,alkan,149,7
371,recoveri.factor,154,7
372,water.cut,178,7
373,texa.railroad.commiss,193,7
374,water.flood,244,7
375,initi.product.rate,270,7
376,inject.well,292,7
377,licenc.round,295,7
378,eor,300,7
379,well.complet,322,7
380,conting.resourc,337,7
381,kuwait.oil.compani,358,7
382,derrick,373,7
383,wirelin,373,7
384,umbil,388,7
385,sedimentari,460,7
386,dri.hole,475,7
387,reserv.replac.ratio,480,7
388,kashagan.field,483,7
389,standard.oil,488,7
390,develop.well,534,7
391,apprais.well,586,7
392,enhanc.oil.recoveri,701,7
393,declin.rate,889,7
394,reserv.life,921,7
395,direct.drill,946,7
396,wildcat,1033,7
397,convent.oil,1336,7
398,topsid,1393,7
399,pdp,1440,7
400,spud,1666,7
401,haynesvill,1763,7
402,associ.gas,1843,7
403,seismic.survey,1928,7
404,phillip.petroleum,1930,7
405,barnett,2176,7
406,float.product,2204,7
407,wellhead,2475,7
408,british.petroleum,2906,7
409,utica,2963,7
410,proven.reserv,3124,7
411,prove.reserv,3900,7
412,e.p,4687,7
413,shell.oil,4931,7
414,gulf.oil,4982,7
415,marcellus,5324,7
416,marathon.oil,5652,7
417,fractur,5679,7
418,horizont,6761,7
419,schlumberg,8820,7
420,subsea,8959,7
421,transocean,9524,7
422,frack,9859,7
423,texaco,10110,7
424,halliburton,11900,7
425,extract,18001,7
426,deepwat,18239,7
427,baker.hugh,19566,7
428,downstream,22441,7
429,explor.product,24696,7
430,upstream,25271,7
431,pemex,29438,7
432,onshor,30483,7
433,royal.dutch.shell,39362,7
434,spill,48335,7
435,gulf.mexico,53762,7
436,shale,62332,7
437,rig,99119,7
438,offshor,130470,7
439,drill,144517,7
440,explor,154116,7
